from_field,from_event,Section Header,Field Type,to_event,to_field,to_form,TO_FIELD_TYPE,NOTES,custom,custom_1,custom_2
record_id,contact_information,,text,,record_id,econsent,text,,,,
weight,anthropometric_hair_measures_captured,Anthropometric Measures,text,child_3_arm_4,weight,anthropometric_hair_measures_captured,text,,,,
height,anthropometric_hair_measures_captured,,text,child_3_arm_4,height,anthropometric_hair_measures_captured,text,,,,
circum_head,anthropometric_hair_measures_captured,,text,child_3_arm_4,circum_head,anthropometric_hair_measures_captured,text,,,,
circum_waist,anthropometric_hair_measures_captured,,text,child_3_arm_4,circum_waist,anthropometric_hair_measures_captured,text,,,,
circum_la,anthropometric_hair_measures_captured,,text,child_3_arm_4,circum_la,anthropometric_hair_measures_captured,text,,,,
circum_ra,anthropometric_hair_measures_captured,,text,child_3_arm_4,circum_ra,anthropometric_hair_measures_captured,text,,,,
sft_waist,anthropometric_hair_measures_captured,,text,child_3_arm_4,sft_waist,anthropometric_hair_measures_captured,text,,,,
sft_la,anthropometric_hair_measures_captured,,text,child_3_arm_4,sft_la,anthropometric_hair_measures_captured,text,,,,
sft_ra,anthropometric_hair_measures_captured,,text,child_3_arm_4,sft_ra,anthropometric_hair_measures_captured,text,,,,
date_haircut,anthropometric_hair_measures_captured,Hair Measures,text,child_3_arm_4,date_haircut,hair_measures_captured,text,,,,
photo1,anthropometric_hair_measures_captured,,text,child_3_arm_4,photo1,anthropometric_hair_measures_captured,text,,,,
photo1_time,anthropometric_hair_measures_captured,,text,child_3_arm_4,photo1_time,anthropometric_hair_measures_captured,text,,,,
photo1_id,anthropometric_hair_measures_captured,,text,child_3_arm_4,photo1_id,anthropometric_hair_measures_captured,text,,,,
visit2_date,anthropometric_hair_measures_captured,,text,child_3_arm_4,visit2_date,anthropometric_hair_measures_captured,text,,,,
photo2,anthropometric_hair_measures_captured,,text,child_3_arm_4,photo2,anthropometric_hair_measures_captured,text,,,,
photo2_time,anthropometric_hair_measures_captured,,text,child_3_arm_4,photo2_time,anthropometric_hair_measures_captured,text,,,,
photo2_id,anthropometric_hair_measures_captured,,text,child_3_arm_4,photo2_id,anthropometric_hair_measures_captured,text,,,,
growth,anthropometric_hair_measures_captured,,text,child_3_arm_4,growth,anthropometric_hair_measures_captured,text,,,,
chem_exp,anthropometric_hair_measures_captured,Hair Questionnaire,radio,child_3_arm_4,chem_exp,hair_measures_captured,checkbox,,radioToCheckbox,chem_exp,"{""1"":""98"",""2"":""2"",""3"":""3"",""4"":""5"",""5"":""6""}"
shampoo,anthropometric_hair_measures_captured,,radio,child_3_arm_4,shampoo,hair_measures_captured,radio,,,,
hair_color,anthropometric_hair_measures_captured,,checkbox,child_3_arm_4,hair_color,hair_measures_captured,checkbox,,,,
texture,anthropometric_hair_measures_captured,,checkbox,child_3_arm_4,texture,hair_measures_captured,checkbox,,,,
sheen,anthropometric_hair_measures_captured,,radio,child_3_arm_4,sheen,hair_measures_captured,radio,,recodeRadio,sheen,"{""1"":""0"",""2"":""1"", ""3"":""2""}"
density,anthropometric_hair_measures_captured,,radio,child_3_arm_4,density,hair_measures_captured,radio,,recodeRadio,density,"{""1"":""1"",""2"":""2"", ""3"":""2"",""4"":""2"", ""5"":""3""}"
elasticity,anthropometric_hair_measures_captured,,radio,child_3_arm_4,elasticity,hair_measures_captured,radio,,,,
scalp,anthropometric_hair_measures_captured,,radio,child_3_arm_4,scalp,hair_measures_captured,radio,,,,
sample_length,hair_sample_readings,,text,child_3_arm_4,sample_length,hair_sample_readings,text,,,,
segment_analysis,hair_sample_readings,,checkbox,child_3_arm_4,segment_analysis,hair_sample_readings,radio,,checkboxToRadio,segment_analysis,"{""1"":""0"",""2"":""1"",""3"":""2"",""4"":""3"",""5"":""4""}"
weight_analyzedsegment,hair_sample_readings,,text,child_3_arm_4,weight_analyzedsegment,hair_sample_readings,text,,,,
weight_whichsegment,hair_sample_readings,,radio,child_3_arm_4,weight_whichsegment,hair_sample_readings,radio,,recodeRadio,weight_whichsegment,"{""1"":""0"",""2"":""1"",""3"":""2"",""4"":""3"",""5"":""4""}"
total_protein,hair_sample_readings,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Protein & Lipid Content</span></p></div>",text,child_3_arm_4,total_protein,hair_sample_readings,text,,,,
protein_whichsegment,hair_sample_readings,,radio,child_3_arm_4,protein_whichsegment,hair_sample_readings,radio,,,,
protein_ugmg,hair_sample_readings,,text,child_3_arm_4,protein_ugmg,hair_sample_readings,text,,,,
total_lipid,hair_sample_readings,,text,child_3_arm_4,total_lipid,hair_sample_readings,text,,,,
lipid_which_segment,hair_sample_readings,,radio,child_3_arm_4,lipid_which_segment,hair_sample_readings,radio,,,,
lipid_ugmg,hair_sample_readings,,text,child_3_arm_4,lipid_ugmg,hair_sample_readings,text,,,,
cortisol_ngml,hair_sample_readings,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Cortisol - ELISA</span></p></div>",text,child_3_arm_4,cortisol_ngml,hair_sample_readings,text,,,,
cortisol_whichsegment,hair_sample_readings,,radio,child_3_arm_4,cortisol_whichsegment,hair_sample_readings,radio,,,,
cortisol_ngmg,hair_sample_readings,,text,child_3_arm_4,cortisol_ngmg,hair_sample_readings,text,,,,
ln_cortisol_ngmg,hair_sample_readings,,text,child_3_arm_4,ln_cortisol_ngmg,hair_sample_readings,text,,,,
oxytocin_pgml,hair_sample_readings,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Oxytocin - ELISA</span></p></div>",text,child_3_arm_4,oxytocin_pgml,hair_sample_readings,text,,,,
oxytocin_whichsegment,hair_sample_readings,,radio,child_3_arm_4,oxytocin_whichsegment,hair_sample_readings,radio,,,,
oxytocin_pgmg,hair_sample_readings,,text,child_3_arm_4,oxytocin_pgmg,hair_sample_readings,text,,,,
ln_oxytocin_pgmg,hair_sample_readings,,text,child_3_arm_4,ln_oxytocin_pgmg,hair_sample_readings,text,,,,
cortisol_ngmg_sums,hair_sample_readings,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Cortisol & Oxytocin - Mass Spectrometry/Liquid Chromatography</span></p></div>",text,child_3_arm_4,cortisol_ngmg_sums,hair_sample_readings,text,,,,
cortisol_whichseg_sums,hair_sample_readings,,radio,child_3_arm_4,cortisol_whichseg_sums,hair_sample_readings,radio,,,,
cortisone_ngmg_sums,hair_sample_readings,,text,child_3_arm_4,cortisone_ngmg_sums,hair_sample_readings,text,,,,
cortisone_whichseg_sums,hair_sample_readings,,radio,child_3_arm_4,cortisone_whichseg_sums,hair_sample_readings,radio,,,,
oxytocin_pgmg_sums,hair_sample_readings,,text,child_3_arm_4,oxytocin_pgmg_sums,hair_sample_readings,text,,,,
oxytocin_whichseg_sums,hair_sample_readings,,radio,child_3_arm_4,oxytocin_whichseg_sums,hair_sample_readings,radio,,,,
vasopressin_pgmg_sums,hair_sample_readings,,text,child_3_arm_4,vasopressin_pgmg_sums,hair_sample_readings,text,,,,
vasopressin_whichseg_sums,hair_sample_readings,,radio,child_3_arm_4,vasopressin_whichseg_sums,hair_sample_readings,radio,,,,
chh_child,child_health_history,,radio,child_3_arm_4,chh_child,child_health_history,radio,,,,
relation,child_health_history,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Birth History</span></p></div>",radio,child_3_arm_4,relation,child_health_history,radio,,,,
biological,child_health_history,,radio,child_3_arm_4,biological,child_health_history,radio,,,,
labor,child_health_history,,radio,child_3_arm_4,labor,child_health_history,radio,,,,
delivery,child_health_history,,radio,child_3_arm_4,delivery,child_health_history,radio,,,,
weeks_preg,child_health_history,,radio,child_3_arm_4,weeks_preg,child_health_history,radio,,,,
asphyxia,child_health_history,,radio,child_3_arm_4,asphyxia,child_health_history,radio,,,,
breastfed,child_health_history,,yesno,child_3_arm_4,breastfed,child_health_history,yesno,,,,
breastfeed_duration,child_health_history,,radio,child_3_arm_4,breastfeed_duration,child_health_history,radio,,,,
health_scale,child_health_history,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">General Health</span></p></div>",radio,child_3_arm_4,health_scale,child_health_history,radio,,,,
immunizations,child_health_history,,yesno,child_3_arm_4,immunizations,child_health_history,yesno,,,,
major_infections,child_health_history,,dropdown,child_3_arm_4,major_infections,child_health_history,dropdown,,,,
minor_infections,child_health_history,,dropdown,child_3_arm_4,minor_infections,child_health_history,dropdown,,,,
childhood_illness,child_health_history,,dropdown,child_3_arm_4,childhood_illness,child_health_history,dropdown,,,,
childhood_illness_2,child_health_history,,dropdown,child_3_arm_4,childhood_illness_2,child_health_history,dropdown,,,,
medication,child_health_history,,yesno,child_3_arm_4,medication,child_health_history,yesno,,,,
medication_stop,child_health_history,,radio,child_3_arm_4,medication_stop,child_health_history,radio,,,,
healthcare_stress,child_health_history,,yesno,child_3_arm_4,healthcare_stress,child_health_history,yesno,,,,
activity_level,child_health_history,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Habits: Activity, Sleep, and Nutrition</span></p></div>",radio,child_3_arm_4,activity_level,child_health_history,radio,,,,
sleep_habits,child_health_history,,yesno,child_3_arm_4,sleep_habits,child_health_history,yesno,,,,
sleep_habit_reasons,child_health_history,,checkbox,child_3_arm_4,sleep_habit_reasons,child_health_history,checkbox,,,,
solid_food,child_health_history,,yesno,child_3_arm_4,solid_food,child_health_history,yesno,,,,
solid_food_age,child_health_history,,radio,child_3_arm_4,solid_food_age,child_health_history,radio,,recodeRadio,solid_food_age,"{""1"":""3"",""2"":""3"", ""3"":""3""}"
